Date,FM,cf1,TempC,RH,region,ID
5/17/2019,6.7,8.616953523,18.02726337,38.56481481,Alaska,AK1
5/18/2019,3.8,3.493916334,16.11528038,49.4043152,Alaska,AK1
5/21/2019,4,3.799600993,19.89763374,29.97222222,Alaska,AK1
5/22/2019,4.7,4.36969101,21.37833385,32.47451344,Alaska,AK1
5/19/2019,3.2,3.191070788,18.44382197,43.89822596,Alaska,AK1
5/20/2019,4.2,3.271365741,18.27726337,38.47962963,Alaska,AK1
5/25/2019,4,5.059415324,21.71558027,35.97590361,Alaska,AK1
5/26/2019,17.6,35.92557407,22.86831276,32.23518519,Alaska,AK1
5/23/2019,4.5,4.829444444,17.65997942,43.99074074,Alaska,AK1
5/24/2019,2.7,2.696412037,17.34104938,50.12222222,Alaska,AK1
5/16/2019,2.9,0.990935845,20.57048708,20.69601483,Alaska,AK1
5/31/2019,12.5,21.86438102,19.24369162,45.48431619,Alaska,AK1
6/1/2019,1.5,0.998847222,14.83410494,70.45138889,Alaska,AK1
6/2/2019,4.4,2.927137883,17.38393686,56.28272981,Alaska,AK1
6/3/2019,2.5,1.235229167,20.23070988,34.02222222,Alaska,AK1
6/4/2019,2.9,2.20475,20.88425926,26.61666667,Alaska,AK1
6/5/2019,3.2,2.615853205,19.49157781,34.94158554,Alaska,AK1
6/6/2019,3.2,2.530875,20.01697531,41.42777778,Alaska,AK1
6/7/2019,3.1,2.784624478,19.65693092,41.59805285,Alaska,AK1
6/8/2019,3.5,2.824006944,19.88657407,39.8125,Alaska,AK1
6/9/2019,3.2,2.697326389,19.94521605,43.0625,Alaska,AK1
5/27/2019,2,0.376831004,20.47537761,27.40502793,Alaska,AK1
5/29/2019,2.3,1.017897361,20.13114416,34.27973978,Alaska,AK1
5/30/2019,3.9,2.558361345,22.22222222,29.6031746,Alaska,AK1
6/13/2019,3.7,4.853118056,23.92978395,34.7625,Alaska,AK1
6/14/2019,4.8,7.302458333,23.59027778,33.37916667,Alaska,AK1
6/15/2019,4.3,6.584881944,22.57638889,42.05833333,Alaska,AK1
6/16/2019,2.9,3.992631944,24.56095679,36.36944444,Alaska,AK1
6/17/2019,3.5,3.617034722,22.68518519,40.09027778,Alaska,AK1
6/19/2019,3.2,2.623479167,25.24151235,41.7375,Alaska,AK1
6/20/2019,4,5.469729167,26.85493827,35.87222222,Alaska,AK1
6/21/2019,4.5,6.590756944,27.94753086,32.5375,Alaska,AK1
6/22/2019,7.5,13.74797222,24.78703704,42.84305556,Alaska,AK1
6/23/2019,16.2,38.57420139,20.96682099,61.84722222,Alaska,AK1
6/10/2019,2.4,2.138555556,20.60339506,44.42222222,Alaska,AK1
6/11/2019,2,1.204868056,21.47685185,41.13055556,Alaska,AK1
6/12/2019,2.8,2.457215278,22.11882716,35.25416667,Alaska,AK1
5/15/2019,4,2.760172375,19.27254841,29.5391791,Alaska,AK1
3/23/2019,6.6,6.37975463,6.814300412,44.76018519,Alaska,AK4
3/24/2019,5.9,7.217335496,7.64854289,43.08248378,Alaska,AK4
3/25/2019,3.8,5.014561158,6.362693225,60.54435107,Alaska,AK4
3/26/2019,4.3,6.329291667,7.905349794,58.19573284,Alaska,AK4
3/27/2019,4,3.765569217,5.604469159,58.98979592,Alaska,AK4
3/28/2019,5.8,5.219893755,5.249485597,54.50185529,Alaska,AK4
3/29/2019,5.7,6.367943307,4.544331171,54.94619666,Alaska,AK4
3/30/2019,6,6.75287963,3.533436214,51.13703704,Alaska,AK4
3/31/2019,7.2,8.565884259,7.350823045,45.23283859,Alaska,AK4
4/1/2019,8.7,11.22105785,6.842592593,46.06296296,Alaska,AK4
4/2/2019,5.6,7.581756256,3.176809803,47.52177943,Alaska,AK4
4/3/2019,3.3,1.774985769,-2.742462576,27.86622391,Alaska,AK4
4/4/2019,2.7,1.862458333,-1.301954733,24.81759259,Alaska,AK4
4/5/2019,2.9,1.845236111,3.169753086,27.36851852,Alaska,AK4
4/6/2019,3.6,2.97049537,3.968621399,31.86666667,Alaska,AK4
4/7/2019,4.2,4.792538907,7.925033467,36.42289157,Alaska,AK4
4/8/2019,6.1,4.788814231,9.543816291,37.97034291,Alaska,AK4
4/9/2019,3.9,3.363329768,9.229938272,40.07037037,Alaska,AK4
4/10/2019,3.7,2.884666667,8.194444444,43.94814815,Alaska,AK4
4/11/2019,4.5,1.449086271,9.288291074,35.08534323,Alaska,AK4
4/12/2019,4.7,2.060373048,9.731232623,35.4884152,Alaska,AK4
4/13/2019,2.9,1.941824784,8.48155058,47.4766791,Alaska,AK4
4/14/2019,3,3.391050688,7.616105447,47.06679035,Alaska,AK4
4/15/2019,2.2,1.31325,7.865226337,43.48333333,Alaska,AK4
4/16/2019,3.2,2.236921296,6.763374486,46.26388889,Alaska,AK4
4/17/2019,1.6,0.79787963,1.54063786,58.02319109,Alaska,AK4
4/18/2019,0.9,0.638280472,1.295438163,61.18072289,Alaska,AK4
4/19/2019,1.8,1.367821161,2.802469136,58.92863763,Alaska,AK4
